Time,cumulative_mean_fraction_lambda_W
382,0.531752
382.25,0.531752
382.5,0.531752
382.75,0.531752
383,0.531752
383.25,0.531752
383.5,0.531752
383.75,0.531752
384,0.531752
384.25,0.531752
384.5,0.531752
384.75,0.531752
385,0.531752
385.25,0.531752
385.5,0.531752
385.75,0.531752
386,0.531752
386.25,0.531752
386.5,0.531752
386.75,0.531752
387,0.531752
387.25,0.531752
387.5,0.531752
387.75,0.531752
388,0.531752
388.25,0.531752
388.5,0.531752
388.75,0.531752
389,0.531752
389.25,0.531752
389.5,0.531752
389.75,0.531752
390,0.531752
390.25,0.531752
390.5,0.531752
390.75,0.531752
391,0.531752
391.25,0.531752
391.5,0.531752
391.75,0.531752
392,0.531752
392.25,0.531752
392.5,0.531752
392.75,0.531752
393,0.531752
393.25,0.531752
393.5,0.531752
393.75,0.531752
394,0.531752
394.25,0.531752
394.5,0.531752
394.75,0.531752
395,0.531752
395.25,0.531752
395.5,0.531752
395.75,0.531752
396,0.531752
396.25,0.531752
396.5,0.531752
396.75,0.531752
397,0.531752
397.25,0.531752
397.5,0.531752
397.75,0.531752
398,0.531752
398.25,0.531752
398.5,0.531752
398.75,0.531752
399,0.531752
399.25,0.531752
399.5,0.531752
399.75,0.531752
400,0.531752
400.25,0.531752
400.5,0.531752
400.75,0.531752
401,0.531752
401.25,0.531752
401.5,0.531752
401.75,0.531752
402,0.531752
402.25,0.531752
402.5,0.531752
402.75,0.531752
403,0.531752
403.25,0.531752
403.5,0.531752
403.75,0.531752
404,0.531752
404.25,0.531752
404.5,0.531752
404.75,0.531752
405,0.531752
405.25,0.531752
405.5,0.531752
405.75,0.531752
406,0.531752
406.25,0.531752
406.5,0.531752
406.75,0.531752
407,0.531752
407.25,0.531752
407.5,0.531752
407.75,0.531752
408,0.531752
408.25,0.531752
408.5,0.531752
