Time,mean_fraction_lambda_W
319.25,0.515691
319.5,0.466962
319.75,0.672635
320,0.538685
320.25,0.527864
320.5,0.516454
320.75,0.585549
321,0.556973
321.25,0.516138
321.5,0.528203
321.75,0.479459
322,0.512052
322.25,0.554063
322.5,0.596247
322.75,0.437777
323,0.647849
323.25,0.299499
323.5,0.270004
323.75,0.481568
324,0.450004
324.25,0.638585
324.5,0.42362
324.75,0.516372
325,0.499415
325.25,0.544812
325.5,0.39207
325.75,0.493292
326,0.558688
326.25,0.377298
326.5,0.481943
326.75,0.36973
327,0.611828
327.25,0.521231
327.5,0.467815
327.75,0.398405
328,0.618947
328.25,0.513741
328.5,0.569494
328.75,0.462024
329,0.562877
329.25,0.511388
329.5,0.593032
329.75,0.557774
330,0.461984
330.25,0.576021
330.5,0.663639
330.75,0.597012
331,0.53658
331.25,0.423513
331.5,0.537854
331.75,0.516544
332,0.391266
332.25,0.678459
332.5,0.64159
332.75,0.499045
333,0.497537
333.25,0.373688
333.5,0.530396
333.75,0.546105
334,0.592636
334.25,0.558352
334.5,0.513073
334.75,0.416432
335,0.249843
335.25,0.519746
335.5,0.467647
335.75,0.527282
336,0.510919
336.25,0.442082
336.5,0.516488
336.75,0.475207
337,0.428437
337.25,0.475594
337.5,0.487017
337.75,0.513088
338,0.269765
338.25,0.630324
338.5,0.399283
338.75,0.445712
339,0.412229
339.25,0.525937
339.5,0.576821
339.75,0.464079
340,0.249713
340.25,0.269957
340.5,0.310377
340.75,0.332191
341,0.463536
341.25,0.497261
341.5,0.480662
341.75,0.395839
342,0.445798
342.25,0.347674
342.5,0.43117
342.75,0.408463
343,0.33329
343.25,0.314761
343.5,0.399455
343.75,0.366403
344,0.585979
344.25,0.153698
344.5,0.653637
344.75,0.569105
345,0.852504
345.25,0.620673
345.5,0.593811
345.75,0.49731
346,0.396611
346.25,0.465375
346.5,0.319363
346.75,0.705822
347,0.386867
347.25,0.352621
347.5,0.498676
347.75,0.540497
348,0.438947
348.25,0.349807
348.5,0.294293
348.75,0.570532
349,0.528015
349.25,0.358232
349.5,0.619709
349.75,0.513938
350,0.493808
350.25,0.519637
350.5,0.497028
350.75,0.656712
351,0.605871
351.25,0.665549
351.5,0.408186
351.75,0.630379
352,0.6288
352.25,0.292167
352.5,0.499414
352.75,0.678929
353,0.536177
353.25,0.605184
353.5,0.569123
353.75,0.731117
354,0.519079
354.25,0.446767
354.5,0.49697
354.75,0.633791
355,0.534213
355.25,0.538655
355.5,0.415992
355.75,0.262216
356,0.454137
356.25,0.729822
356.5,0.523082
356.75,0.544183
357,0.366398
357.25,0.562007
357.5,0.379829
357.75,0.469906
358,0.701298
358.25,0.643697
358.5,0.497043
358.75,0.367225
359,0.57664
359.25,0.388396
359.5,0.387446
359.75,0.688776
360,0.420006
360.25,0.617836
360.5,0.523143
360.75,0.66469
361,0.300362
361.25,0.432804
361.5,0.830771
361.75,0.410092
362,0.261052
362.25,0.462573
362.5,0.576416
362.75,0.366287
363,0.333011
363.25,0.636732
363.5,0.453799
363.75,0.524561
364,0.5623
364.25,0.631203
364.5,0.463666
364.75,0.545636
365,0.458062
365.25,0.741428
365.5,0.399065
365.75,0.544032
366,0.602424
366.25,0.393009
366.5,0.663285
366.75,0.606901
367,0.608822
367.25,0.620181
367.5,0.458448
367.75,0.552276
368,0.499261
368.25,0.704487
368.5,0.536522
368.75,0.537008
369,0.473185
369.25,0.537202
369.5,0.2931
369.75,0.332822
370,0.277692
370.25,0.608359
370.5,0.153654
370.75,0.361126
371,0.622946
371.25,0.469314
371.5,0.528195
371.75,0.496507
372,0.432812
372.25,0.467247
372.5,0.520813
372.75,0.584387
373,0.384077
373.25,0.181264
373.5,0.496917
373.75,0.401048
374,0.498504
374.25,0.49393
374.5,0.356301
374.75,0.49911
375,0.38636
375.25,0.688725
375.5,0.775553
375.75,0.420026
376,0.686074
376.25,0.538533
376.5,0.625978
376.75,0.370585
377,0.561911
377.25,0.536868
377.5,0.465618
377.75,0.380384
378,0.45341
378.25,0.367777
378.5,0.748965
378.75,0.433866
379,0.221805
379.25,0.442946
379.5,0.555957
379.75,0.498072
380,0.603594
380.25,0.499218
380.5,0.664885
380.75,0.724773
381,0.415724
381.25,0.332505
381.5,0.536407
381.75,0.313179
382,0.332809
382.25,0.332252
382.5,0.498521
382.75,0.468606
383,0.531848
383.25,0.497972
383.5,0.266163
383.75,0.311688
384,0.460945
384.25,0.27038
384.5,0.494917
384.75,0.577025
385,0.396565
385.25,0.49885
385.5,0.555305
385.75,0.454909
386,0.698724
386.25,0.356589
386.5,0.38359
386.75,0.298724
387,0.660843
387.25,0.399762
387.5,0.249736
387.75,0.499539
388,0.555087
388.25,0.117612
388.5,0.427643
388.75,0.24888
389,0.56997
389.25,0.383612
389.5,0.570874
389.75,0.234259
390,0.33295
390.25,0.664896
390.5,0.363268
390.75,0.626929
391,0.663296
391.25,0.499839
391.5,0.363155
391.75,0.748767
392,0.399933
392.25,0.699298
392.5,0.853769
392.75,0.662678
393,0.499022
393.25,0.29929
393.5,0.79948
393.75,0.749049
394,0.220864
394.25,0.663072
394.5,0.179581
394.75,0.560919
395,0.461172
395.25,0.361707
395.5,0.399726
395.75,0.299061
396,0.62379
396.25,0.74812
396.5,0.460509
396.75,0.574001
397,0.748769
397.25,0.599509
397.5,0.332461
397.75,0.499941
398,0.249925
398.25,0.698765
398.5,0.332378
398.75,0.623948
399,0.665895
399.25,0.498277
399.5,0.456671
399.75,0.111102
400,0.332537
400.25,0.166602
400.5,0.436415
400.75,0.281222
401,0.243785
401.25,0.499043
401.5,0
401.75,0.383681
402,0.656886
402.25,0.498654
402.5,0.125041
402.75,0.62398
403,0.362386
403.25,0.330074
403.5,0.428284
403.75,0.590183
404,0.166212
404.25,0.463225
404.5,0.499438
404.75,0.284455
405,0.830807
405.25,0.567585
405.5,0.598894
405.75,0.665688
406,0.699331
406.25,0.416216
406.5,0.55155
406.75,0.666008
407,0.332764
407.25,0.583703
407.5,0.624126
407.75,0.332895
408,0.661818
408.25,0.374904
408.5,0.595858
408.75,0.726436
409,0.199972
409.25,0.598981
409.5,0.74587
409.75,0.777425
410,0.428221
410.25,0.249887
