Time,cumulative_mean_fraction_lambda_C
386,0.123218
386.25,0.123195
386.5,0.123174
386.75,0.123184
387,0.123161
387.25,0.123144
387.5,0.123172
387.75,0.123175
388,0.123201
388.25,0.123186
388.5,0.123192
388.75,0.123206
389,0.123196
389.25,0.123202
389.5,0.123184
389.75,0.123223
390,0.123218
390.25,0.123235
390.5,0.123244
390.75,0.123218
391,0.123212
391.25,0.123215
391.5,0.123211
391.75,0.123198
392,0.123208
392.25,0.123205
392.5,0.123194
392.75,0.123179
393,0.123173
393.25,0.123184
393.5,0.123175
393.75,0.123162
394,0.123174
394.25,0.123164
394.5,0.123196
394.75,0.123183
395,0.123175
395.25,0.123171
395.5,0.123159
395.75,0.123183
396,0.123183
396.25,0.123191
396.5,0.123223
396.75,0.123224
397,0.123218
397.25,0.12321
397.5,0.123213
397.75,0.12321
398,0.123223
398.25,0.123207
398.5,0.123211
398.75,0.123198
399,0.123193
399.25,0.123203
399.5,0.123223
399.75,0.123235
400,0.123228
400.25,0.123285
400.5,0.123299
400.75,0.123328
401,0.123335
401.25,0.123338
401.5,0.123332
401.75,0.123324
402,0.123324
402.25,0.123321
402.5,0.123308
402.75,0.123321
403,0.123303
403.25,0.123302
403.5,0.123291
403.75,0.123283
404,0.123274
404.25,0.123266
404.5,0.123256
404.75,0.123258
405,0.123248
405.25,0.12325
405.5,0.123247
405.75,0.123238
406,0.123235
406.25,0.123228
406.5,0.123228
406.75,0.123218
407,0.12323
407.25,0.123229
407.5,0.123216
407.75,0.123201
408,0.123192
408.25,0.123218
408.5,0.123211
408.75,0.123202
409,0.123194
409.25,0.123217
409.5,0.123205
409.75,0.12319
410,0.123194
410.25,0.123187
410.5,0.123195
410.75,0.123179
411,0.123168
411.25,0.123188
411.5,0.123181
411.75,0.12317
412,0.123164
412.25,0.123159
412.5,0.123164
412.75,0.123161
413,0.12317
413.25,0.123176
413.5,0.12317
413.75,0.123157
414,0.123138
414.25,0.123155
414.5,0.123162
414.75,0.123167
415,0.123159
415.25,0.123148
415.5,0.123151
415.75,0.123155
416,0.123152
416.25,0.123144
416.5,0.123129
416.75,0.123117
417,0.123106
417.25,0.123097
417.5,0.123116
417.75,0.123111
418,0.123116
418.25,0.123106
418.5,0.123095
418.75,0.1231
419,0.123111
419.25,0.123142
