Time,normal_interactions,curtailed_interactions
393.25,659953,447688
393.5,659953,447688
393.75,659953,447688
394,659953,447688
394.25,659953,447688
394.5,659953,447688
394.75,659953,447688
395,659953,447688
395.25,659953,447688
395.5,659953,447688
395.75,659953,447688
396,659953,447688
396.25,659953,447688
396.5,659953,447688
396.75,659953,447688
397,659953,447688
397.25,659953,447688
397.5,659953,447688
397.75,659953,447688
398,659953,447688
398.25,659953,447688
398.5,659953,447688
398.75,659953,447688
399,659953,447688
399.25,659953,447688
399.5,659953,447688
399.75,659953,447688
400,659953,447688
400.25,659953,447688
400.5,659953,447688
400.75,659953,447688
401,659953,447688
401.25,659953,447688
401.5,659953,447688
401.75,659953,447688
402,659953,447688
402.25,659953,447688
402.5,659953,447688
402.75,659953,447688
403,659953,447688
403.25,659953,447688
403.5,659953,447688
403.75,659953,447688
404,659953,447688
404.25,659953,447688
404.5,659953,447688
404.75,659953,447688
405,659953,447688
405.25,659953,447688
405.5,659953,447688
405.75,659953,447688
406,659953,447688
406.25,659953,447688
406.5,659953,447688
406.75,659953,447688
407,659953,447688
407.25,659953,447688
407.5,659953,447688
407.75,659953,447688
408,659953,447688
408.25,659953,447688
408.5,659953,447688
408.75,659953,447688
409,659953,447688
409.25,659953,447688
409.5,659953,447688
409.75,659953,447688
410,659953,447688
410.25,659953,447688
410.5,659953,447688
410.75,659953,447688
411,659953,447688
411.25,659953,447688
411.5,659953,447688
411.75,659953,447688
412,659953,447688
412.25,659953,447688
412.5,659953,447688
412.75,659953,447688
413,659953,447688
413.25,659953,447688
413.5,659953,447688
413.75,659953,447688
414,659953,447688
414.25,659953,447688
414.5,659953,447688
414.75,659953,447688
415,659953,447688
415.25,659953,447688
415.5,659953,447688
415.75,659953,447688
416,659953,447688
416.25,659953,447688
416.5,659953,447688
416.75,659953,447688
417,659953,447688
417.25,659953,447688
417.5,659953,447688
417.75,659953,447688
418,659953,447688
418.25,659953,447688
418.5,659953,447688
418.75,659953,447688
419,659953,447688
419.25,659953,447688
419.5,659953,447688
419.75,659953,447688
420,659953,447688
420.25,659953,447688
420.5,659953,447688
420.75,659953,447688
421,659953,447688
421.25,659953,447688
421.5,659953,447688
421.75,659953,447688
422,659953,447688
422.25,659953,447688
422.5,659953,447688
422.75,659953,447688
423,659953,447688
423.25,659953,447688
423.5,659953,447688
423.75,659953,447688
424,659953,447688
424.25,659953,447688
424.5,659953,447688
424.75,659953,447688
425,659953,447688
425.25,659953,447688
425.5,659953,447688
425.75,659953,447688
426,659953,447688
426.25,659953,447688
426.5,659953,447688
426.75,659953,447688
427,659953,447688
427.25,659953,447688
427.5,659953,447688
427.75,659953,447688
428,659953,447688
428.25,659953,447688
428.5,659953,447688
428.75,659953,447688
429,659953,447688
429.25,659953,447688
429.5,659953,447688
429.75,659953,447688
430,659953,447688
430.25,659953,447688
430.5,659953,447688
430.75,659953,447688
431,659953,447688
431.25,659953,447688
431.5,659953,447688
431.75,659953,447688
432,659953,447688
432.25,659953,447688
432.5,659953,447688
432.75,659953,447688
433,659953,447688
433.25,659953,447688
433.5,659953,447688
433.75,659953,447688
434,659953,447688
434.25,659953,447688
434.5,659953,447688
434.75,659953,447688
435,659953,447688
435.25,659953,447688
435.5,659953,447688
435.75,659953,447688
436,659953,447688
436.25,659953,447688
436.5,659953,447688
436.75,659953,447688
437,659953,447688
437.25,659953,447688
437.5,659953,447688
437.75,659953,447688
438,659953,447688
438.25,659953,447688
438.5,659953,447688
438.75,659953,447688
439,659953,447688
439.25,659953,447688
439.5,659953,447688
439.75,659953,447688
440,659953,447688
440.25,659953,447688
440.5,659953,447688
440.75,659953,447688
441,659953,447688
441.25,659953,447688
441.5,659953,447688
441.75,659953,447688
442,659953,447688
442.25,659953,447688
442.5,659953,447688
442.75,659953,447688
443,659953,447688
443.25,659953,447688
443.5,659953,447688
443.75,659953,447688
444,659953,447688
444.25,659953,447688
444.5,659953,447688
444.75,659953,447688
445,659953,447688
445.25,659953,447688
445.5,659953,447688
445.75,659953,447688
446,659953,447688
446.25,659953,447688
446.5,659953,447688
446.75,659953,447688
447,659953,447688
447.25,659953,447688
447.5,659953,447688
447.75,659953,447688
448,659953,447688
448.25,659953,447688
448.5,659953,447688
448.75,659953,447688
449,659953,447688
449.25,659953,447688
449.5,659953,447688
449.75,659953,447688
450,659953,447688
450.25,659953,447688
450.5,659953,447688
450.75,659953,447688
451,659953,447688
451.25,659953,447688
451.5,659953,447688
451.75,659953,447688
452,659953,447688
452.25,659953,447688
452.5,659953,447688
452.75,659953,447688
453,659953,447688
453.25,659953,447688
453.5,659953,447688
453.75,659953,447688
454,659953,447688
454.25,659953,447688
454.5,659953,447688
454.75,659953,447688
455,659953,447688
455.25,659953,447688
455.5,659953,447688
455.75,659953,447688
456,659953,447688
456.25,659953,447688
456.5,659953,447688
456.75,659953,447688
457,659953,447688
457.25,659953,447688
457.5,659953,447688
457.75,659953,447688
458,659953,447688
458.25,659953,447688
